pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-14 18:03:38.239529,712380,1609507311879637,4911849007,-0.733952,0.628544,-0.347456,-4.6025,-3.96375,-4.445,37.168003,0.16,12.544001,none,8,3.0,110534.0,243680.0,199070.0,237910.0,214822.0
2026-04-14 18:03:38.249219,712381,1609507311888574,4911857675,-0.812032,0.661728,-0.372832,-5.7225,-4.36625,-5.46,38.152,-0.176,9.64,none,8,3.0,110534.0,243680.0,199070.0,237910.0,214822.0
2026-04-14 18:03:38.260145,712382,1609507311903095,4911872707,-0.812032,0.661728,-0.372832,-6.48375,-4.94375,-6.39625,38.152,-0.176,9.64,none,8,3.0,110534.0,243680.0,199070.0,237910.0,214822.0
2026-04-14 18:03:38.266676,712383,1609507311912023,4911881393,-0.808128,0.65392,-0.37088,-6.475,-5.38125,-7.525,38.072002,0.024,9.832001,none,8,3.0,110534.0,243680.0,199070.0,237910.0,214822.0
2026-04-14 18:03:38.286837,712384,1609507311926627,4911896281,-0.794464,0.64416,-0.337696,-6.34375,-5.69625,-8.72375,37.584003,0.008,9.608001,none,8,3.0,110534.0,243680.0,199070.0,237910.0,214822.0
2026-04-14 18:03:38.291593,712385,1609507311935649,4911904980,-0.794464,0.64416,-0.337696,-6.44,-6.22125,-9.8175,37.584003,0.008,9.608001,none,8,3.0,110534.0,243680.0,199070.0,237910.0,214822.0
2026-04-14 18:03:38.346823,712396,1609507311950332,4911920533,-0.827648,0.646112,-0.415776,-5.9325,-6.55375,-10.465,38.008003,0.04,9.864,none,8,3.0,106071.0,242047.0,193572.0,236724.0,208980.0
2026-04-14 18:03:38.349320,712397,1609507311959330,4911929278,-0.827648,0.646112,-0.415776,-4.68125,-6.36125,-11.06875,38.008003,0.04,9.864,none,8,3.0,106071.0,242047.0,193572.0,236724.0,208980.0
2026-04-14 18:03:38.351783,712398,1609507311968259,4911937975,-0.788608,0.630496,-0.290848,-4.97875,-6.1425,-11.8475,38.152,0.104,10.384001,none,8,3.0,106071.0,242047.0,193572.0,236724.0,208980.0
2026-04-14 18:03:38.354321,712399,1609507311982780,4911952863,-0.788608,0.630496,-0.290848,-5.1975,-6.67625,-12.4075,38.152,0.104,10.384001,none,8,3.0,106071.0,242047.0,193572.0,236724.0,208980.0
2026-04-14 18:03:38.356829,712400,1609507311991693,4911961609,-0.831552,0.6344,-0.339648,-4.55,-7.4375,-12.775,37.992,0.168,10.400001,none,8,3.0,106071.0,242047.0,193572.0,236724.0,208980.0
2026-04-14 18:03:38.363173,712401,1609507312006254,4911976576,-0.81008,0.599264,-0.519232,-3.43875,-8.18125,-13.37875,37.784,0.664,12.52,none,8,3.0,106071.0,242047.0,193572.0,236724.0,208980.0
2026-04-14 18:03:38.371992,712402,1609507312015190,4911985299,-0.81008,0.599264,-0.519232,-2.1525,-8.9425,-14.385,37.784,0.664,12.52,none,8,3.0,106071.0,242047.0,193572.0,236724.0,208980.0
