pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-14 17:15:16.441794,166890,1609504410178315,2010148563,0.9272,-0.314272,-0.183488,-21.9625,-6.51875,-7.74375,-20.448002,-11.504001,-15.896001,concentric,3,3.0,49432.0,199004.0,107632.0,201606.0,117478.0
2026-04-14 17:15:16.450601,166891,1609504410187205,2010157232,0.9272,-0.314272,-0.183488,-24.85,-5.4425,-12.27625,-20.448002,-11.504001,-15.896001,concentric,3,3.0,49432.0,199004.0,107632.0,201606.0,117478.0
2026-04-14 17:15:16.460568,166892,1609504410196172,2010165921,0.9272,-0.314272,-0.183488,-22.89,-3.50875,-15.75875,-20.448002,-11.504001,-15.896001,concentric,3,3.0,49432.0,199004.0,107632.0,201606.0,117478.0
2026-04-14 17:15:16.487921,166903,1609504410210721,2010180881,0.876448,-0.318176,-0.124928,-15.2775,-1.4875,-17.885,-20.144001,-11.912001,-13.448001,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.490519,166904,1609504410219689,2010189596,0.841312,-0.296704,-0.384544,-4.62875,-0.97125,-21.2275,-21.136002,-12.072001,-12.400001,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.497985,166905,1609504410234164,2010204456,0.841312,-0.296704,-0.384544,-1.84625,0.93625,-22.715,-21.136002,-12.072001,-12.400001,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.506746,166906,1609504410243118,2010213143,0.81984,-0.26352,-0.261568,-4.095,2.30125,-26.32875,-20.968,-12.864,-13.744,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.521862,166907,1609504410257581,2010225954,0.735904,-0.240096,-0.201056,-7.46375,3.6225,-27.825,-20.968,-13.376,-13.896001,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.530572,166908,1609504410266820,2010236693,0.735904,-0.240096,-0.201056,-6.71125,3.68375,-30.0475,-19.808,-13.376,-13.896001,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.539200,166909,1609504410275766,2010245387,0.735904,-0.240096,-0.201056,2.63375,5.22375,-34.58875,-19.808,-13.376,-13.896001,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.564207,166910,1609504410290237,2010260313,0.70272,-0.187392,-0.212768,6.50125,8.98625,-39.97,-19.968,-13.880001,-13.840001,concentric,3,3.0,50133.0,207459.0,108382.0,209532.0,118747.0
2026-04-14 17:15:16.601746,166921,1609504410299161,2010269397,0.726144,-0.245952,-0.189344,8.58375,13.02,-43.12,-20.864,-13.904,-10.736,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.604212,166922,1609504410313659,2010282220,0.726144,-0.245952,-0.189344,10.43875,14.07875,-51.12625,-20.864,-13.904,-10.736,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.607099,166923,1609504410323087,2010293007,0.841312,-0.232288,-0.345504,5.9675,13.86,-49.74375,-21.28,-14.536,-11.688001,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.609580,166924,1609504410332043,2010301748,0.841312,-0.232288,-0.345504,-0.18375,14.48125,-48.6675,-21.28,-14.536,-11.688001,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.612112,166925,1609504410346533,2010316667,0.798368,-0.173728,-0.138592,-0.7525,17.745,-47.3725,-20.608002,-15.032001,-12.752001,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.619077,166926,1609504410355518,2010325398,0.798368,-0.173728,-0.138592,7.55125,22.505,-51.66,-20.608002,-15.032001,-12.752001,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.644013,166927,1609504410369995,2010340271,0.685152,-0.203008,-0.296704,15.26875,23.94,-59.47375,-18.808,-16.056002,-13.872001,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.668975,166928,1609504410378906,2010348958,0.860832,-0.199104,-0.2928,17.01,22.4,-63.77875,-19.448002,-15.928,-10.472,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.677044,166929,1609504410393358,2010361771,0.860832,-0.199104,-0.2928,8.32125,19.18875,-56.525,-19.448002,-15.928,-10.472,concentric,3,3.0,53704.0,224997.0,114368.0,225804.0,125157.0
2026-04-14 17:15:16.704250,166940,1609504410403046,2010372603,0.794464,-0.1952,-0.222528,0.2275,20.06375,-48.3875,-19.68,-16.616001,-12.52,concentric,3,3.0,59576.0,267372.0,123964.0,261808.0,134627.0
2026-04-14 17:15:16.706842,166941,1609504410412001,2010381390,0.794464,-0.1952,-0.222528,-4.54125,24.7625,-46.68125,-19.68,-16.616001,-12.52,concentric,3,3.0,59576.0,267372.0,123964.0,261808.0,134627.0
