pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-14 18:03:01.555264,705483,1609507275200694,4875170638,-0.583648,0.726144,-0.466528,-63.00875,25.2175,182.07,-28.552002,-24.496,-7.000001,eccentric,8,3.0,38172.0,184677.0,83205.0,179225.0,97985.0
2026-04-14 18:03:01.572738,705484,1609507275215206,4875183635,-0.304512,0.958432,-0.3416,-42.9975,30.44125,174.43124,-29.840002,-22.856,-5.32,eccentric,8,3.0,38172.0,184677.0,83205.0,179225.0,97985.0
2026-04-14 18:03:01.581568,705485,1609507275224498,4875194381,-0.304512,0.958432,-0.3416,-30.87875,41.39625,162.89876,-29.840002,-22.856,-5.32,eccentric,8,3.0,38172.0,184677.0,83205.0,179225.0,97985.0
2026-04-14 18:03:01.593081,705486,1609507275233454,4875203101,-0.275232,0.817888,-0.394304,-42.35875,52.0275,153.58,-32.256,-21.528002,-4.224,eccentric,8,3.0,38172.0,184677.0,83205.0,179225.0,97985.0
2026-04-14 18:03:01.617826,705497,1609507275248119,4875218164,-0.275232,0.817888,-0.394304,-62.728752,55.728752,149.59875,-32.256,-21.528002,-4.224,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.620363,705498,1609507275257183,4875226873,-0.327936,0.528992,-0.46848,-62.5625,52.263752,148.91624,-33.176003,-19.84,-3.464,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.627738,705499,1609507275271723,4875241787,-0.222528,0.915488,-0.55632,-35.735,51.835,149.49374,-34.464,-18.448,-3.968,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.634349,705500,1609507275280703,4875250555,-0.222528,0.915488,-0.55632,-6.36125,55.83375,153.685,-34.464,-18.448,-3.968,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.644116,705501,1609507275289720,4875259271,-0.222528,0.915488,-0.113216,5.66125,57.33875,148.51375,-34.464,-18.448,-3.968,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.660506,705502,1609507275304215,4875274177,0.0488,0.890112,-0.113216,-6.06375,55.8775,136.29875,-34.064003,-16.880001,-2.768,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.668010,705503,1609507275313156,4875282861,-0.07808,0.737856,-0.296704,-25.62875,55.34375,130.235,-34.72,-15.408001,-1.36,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.694248,705504,1609507275327652,4875297790,-0.07808,0.737856,-0.296704,-30.93125,58.275,128.94875,-34.72,-15.408001,-1.36,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.696677,705505,1609507275336581,4875306526,-0.001952,0.72224,-0.298656,-25.83,55.53625,129.52625,-36.536003,-13.384001,-1.592,eccentric,8,3.0,49991.0,196017.0,99224.0,189952.0,115649.0
2026-04-14 18:03:01.746707,705516,1609507275351179,4875321467,0.0,0.812032,-0.376736,-17.28125,49.91,134.365,-36.0,-12.376,0.744,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.749111,705517,1609507275360156,4875330209,0.0,0.812032,-0.376736,-5.11,47.15375,137.40125,-36.0,-12.376,0.744,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.751683,705518,1609507275369213,4875338901,0.0,0.812032,-0.376736,2.59875,49.035,136.6925,-36.0,-12.376,0.744,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.754211,705519,1609507275383758,4875353898,0.093696,0.925248,-0.288896,5.4075,52.325,131.915,-36.352,-10.912001,-1.168,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.756800,705520,1609507275392786,4875362629,0.201056,0.894016,-0.099552,-3.815,51.7825,123.76875,-36.4,-9.456,1.096,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.762945,705521,1609507275407292,4875377576,0.201056,0.894016,-0.099552,-20.88625,49.32375,119.58625,-36.4,-9.456,1.096,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.771661,705522,1609507275416289,4875386272,0.173728,0.778848,-0.337696,-28.5775,48.8775,117.5125,-36.528,-7.64,1.96,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.786627,705523,1609507275430813,4875401144,0.173728,0.8296,-0.054656,-25.585001,49.91875,115.4125,-36.528,-7.64,1.96,eccentric,8,3.0,75494.0,212688.0,129910.0,205183.0,150083.0
2026-04-14 18:03:01.820631,705534,1609507275440028,4875410352,0.318176,0.8296,-0.054656,-17.053751,53.515,114.00375,-37.896,-5.696,2.176,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.823193,705535,1609507275449110,4875419120,0.318176,0.8296,-0.054656,-11.10375,57.25125,110.38125,-37.896,-5.696,2.176,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.825657,705536,1609507275463676,4875434084,0.36112,0.864736,-0.0488,-13.83375,60.375,104.16875,-37.896,-4.888,2.744,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.827633,705537,1609507275472590,4875442744,0.339648,0.786656,0.011712,-21.2275,61.34625,97.44875,-36.928,-3.872,2.904,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.840219,705538,1609507275487117,4875455595,0.339648,0.786656,0.011712,-26.78375,58.2225,92.40875,-36.928,-3.872,2.904,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.872100,705539,1609507275496469,4875466358,0.447008,0.730048,-0.138592,-27.65875,52.5,88.4625,-36.576,-3.0,3.824,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.874146,705540,1609507275505484,4875475016,0.447008,0.730048,-0.138592,-21.48125,49.00875,86.35375,-36.576,-3.0,3.824,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.877084,705541,1609507275519982,4875489915,0.454816,0.759328,-0.0976,-11.515,48.92125,86.30125,-37.784,-0.744,6.128,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.883282,705542,1609507275529067,4875498678,0.454816,0.759328,-0.0976,-7.945,47.13625,86.05625,-37.784,-0.744,6.128,eccentric,8,3.0,89398.0,222352.0,145577.0,214017.0,167282.0
2026-04-14 18:03:01.918957,705553,1609507275544132,4875513687,0.54656,0.825696,0.206912,-11.62875,47.69625,84.0175,-36.984,-0.48,4.872,eccentric,8,3.0,105125.0,231576.0,164067.0,221861.0,186343.0
2026-04-14 18:03:01.921965,705554,1609507275553207,4875522514,0.501664,0.642208,-0.306464,-15.1375,51.66,78.1025,-37.608,0.744,4.704,eccentric,8,3.0,105125.0,231576.0,164067.0,221861.0,186343.0
2026-04-14 18:03:01.924025,705555,1609507275562188,4875531273,0.501664,0.642208,-0.306464,-14.245,53.138752,74.9525,-37.608,0.744,4.704,eccentric,8,3.0,105125.0,231576.0,164067.0,221861.0,186343.0
2026-04-14 18:03:01.931971,705556,1609507275576710,4875546182,0.443104,0.696864,-0.18544,-12.36375,52.31625,76.3875,-36.552002,1.536,7.312,eccentric,8,3.0,105125.0,231576.0,164067.0,221861.0,186343.0
2026-04-14 18:03:01.939476,705557,1609507275585773,4875554821,0.443104,0.696864,-0.18544,-3.1325,56.88375,76.60625,-36.552002,1.536,7.312,eccentric,8,3.0,105125.0,231576.0,164067.0,221861.0,186343.0
2026-04-14 18:03:01.955713,705558,1609507275600291,4875569737,0.450912,0.81984,-0.0976,5.48625,58.1875,70.74375,-36.304,2.352,7.704001,eccentric,8,3.0,105125.0,231576.0,164067.0,221861.0,186343.0
