pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-14 18:16:05.736839,852893,1609508059357711,5659327575,0.98576,0.173728,0.579744,-11.66375,1.645,11.7075,-10.824,19.648,25.28,concentric,4,7.0,166057.0,353453.0,262678.0,342302.0,271012.0
2026-04-14 18:16:05.749546,852894,1609508059366765,5659336268,0.98576,0.173728,0.579744,-13.230001,3.1675,11.7075,-10.824,19.648,25.28,concentric,4,7.0,166057.0,353453.0,262678.0,342302.0,271012.0
2026-04-14 18:16:05.762053,852895,1609508059381253,5659351161,0.9272,0.142496,0.3904,-13.685,0.455,11.06875,-10.952001,19.528002,23.608002,concentric,4,7.0,166057.0,353453.0,262678.0,342302.0,271012.0
2026-04-14 18:16:05.769509,852896,1609508059390194,5659359879,0.9272,0.142496,0.3904,-11.9875,-3.12375,9.905,-10.952001,19.528002,23.608002,concentric,4,7.0,166057.0,353453.0,262678.0,342302.0,271012.0
2026-04-14 18:16:05.784658,852897,1609508059404747,5659374814,0.987712,0.085888,0.49776,-12.0925,-5.50375,8.995,-11.256001,19.488,24.552002,concentric,4,7.0,166057.0,353453.0,262678.0,342302.0,271012.0
2026-04-14 18:16:05.793451,852898,1609508059413691,5659383522,0.987712,0.085888,0.49776,-14.62125,-5.1975,9.82625,-11.256001,19.488,24.552002,concentric,4,7.0,166057.0,353453.0,262678.0,342302.0,271012.0
2026-04-14 18:16:05.823595,852909,1609508059428282,5659398456,0.979904,0.05856,0.597312,-15.00625,-2.61625,10.91125,-10.424001,19.608002,24.128,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.824659,852910,1609508059437300,5659407187,0.85888,0.10736,0.482144,-15.12,-0.07,12.01375,-11.232,19.936,24.768002,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.826931,852911,1609508059446323,5659415922,0.85888,0.10736,0.482144,-14.42,1.33,13.79,-11.232,19.936,24.768002,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.840805,852912,1609508059460837,5659430973,0.950624,0.031232,0.542656,-12.845,0.175,15.085,-10.888001,19.888,24.952002,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.877258,852913,1609508059469761,5659439676,0.950624,0.031232,0.542656,-13.1425,-2.66,16.485,-10.888001,19.888,24.952002,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.879695,852914,1609508059484260,5659454561,0.81984,0.074176,0.407968,-12.74,-5.29375,17.63125,-10.928,19.848001,24.184002,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.882197,852915,1609508059493203,5659463278,0.81984,0.074176,0.407968,-11.042501,-6.65875,18.147501,-10.928,19.848001,24.184002,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.889623,852916,1609508059507915,5659478208,0.796416,0.115168,0.511424,-10.4475,-6.36125,18.33125,-9.888001,20.12,25.320002,concentric,4,7.0,165105.0,354120.0,261304.0,342812.0,269643.0
2026-04-14 18:16:05.943299,852927,1609508059517379,5659486936,0.83936,0.021472,0.42944,-10.9025,-5.67,17.8325,-10.016001,19.720001,21.808,concentric,4,7.0,156172.0,350792.0,250492.0,339953.0,260121.0
2026-04-14 18:16:05.968463,852928,1609508059526595,5659495797,0.83936,0.021472,0.42944,-10.43875,-5.6525,17.22875,-10.016001,19.720001,21.808,concentric,4,7.0,156172.0,350792.0,250492.0,339953.0,260121.0
2026-04-14 18:16:05.975973,852929,1609508059541103,5659510720,0.835456,0.042944,0.513376,-8.3825,-7.4725,16.765,-10.304001,20.432001,25.160002,concentric,4,7.0,156172.0,350792.0,250492.0,339953.0,260121.0
2026-04-14 18:16:05.978439,852930,1609508059550011,5659519410,0.835456,0.042944,0.513376,-6.4575,-9.5725,16.625,-10.304001,20.432001,25.160002,concentric,4,7.0,156172.0,350792.0,250492.0,339953.0,260121.0
2026-04-14 18:16:05.980890,852931,1609508059558949,5659528100,0.825696,0.001952,0.46848,-6.5975,-11.17375,17.8675,-10.496,20.392,25.584002,concentric,4,7.0,156172.0,350792.0,250492.0,339953.0,260121.0
2026-04-14 18:16:05.983492,852932,1609508059573446,5659543033,0.825696,0.001952,0.46848,-8.26,-11.8125,19.32,-10.496,20.392,25.584002,concentric,4,7.0,156172.0,350792.0,250492.0,339953.0,260121.0
2026-04-14 18:16:05.985923,852933,1609508059582396,5659551730,0.733952,0.03904,0.288896,-8.67125,-11.27,20.39625,-10.984,20.488,24.776001,concentric,4,7.0,156172.0,350792.0,250492.0,339953.0,260121.0
