pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-14 17:34:47.189444,386957,1609505580813059,3180782980,0.970144,-0.251808,0.140544,-17.5175,-4.08625,-2.765,-26.36,-19.320002,-2.12,concentric,3,3.0,48263.0,211904.0,103540.0,213667.0,115576.0
2026-04-14 17:34:47.189873,386958,1609505580827530,3180797840,0.977952,-0.230336,-0.003904,-17.36875,-3.4825,-2.51125,-27.208002,-19.488,-1.456,concentric,3,3.0,48263.0,211904.0,103540.0,213667.0,115576.0
2026-04-14 17:34:47.197172,386959,1609505580836439,3180806512,0.977952,-0.230336,-0.003904,-17.5525,-2.58125,-0.4375,-27.208002,-19.488,-1.456,concentric,3,3.0,48263.0,211904.0,103540.0,213667.0,115576.0
2026-04-14 17:34:47.200061,386960,1609505580850903,3180819349,0.95648,-0.216672,0.115168,-12.11,-2.0475,-3.78875,-27.28,-19.224,-2.152,concentric,3,3.0,48263.0,211904.0,103540.0,213667.0,115576.0
2026-04-14 17:34:47.202557,386961,1609505580860139,3180830114,0.95648,-0.216672,0.115168,-1.21625,-5.6175,-8.3825,-27.28,-19.224,-2.152,concentric,3,3.0,48263.0,211904.0,103540.0,213667.0,115576.0
2026-04-14 17:34:47.205079,386962,1609505580869037,3180838774,1.052128,-0.095648,-0.027328,8.6975,-7.65625,-9.52,-26.752,-19.832,-2.504,concentric,3,3.0,48263.0,211904.0,103540.0,213667.0,115576.0
2026-04-14 17:34:47.209666,386963,1609505580883514,3180853649,1.052128,-0.095648,-0.027328,10.08,-7.74375,-11.47125,-26.752,-19.832,-2.504,concentric,3,3.0,48263.0,211904.0,103540.0,213667.0,115576.0
2026-04-14 17:34:47.235023,386974,1609505580892481,3180862409,1.13216,-0.247904,0.001952,-5.03125,-3.465,-8.93375,-26.464,-19.688002,-5.56,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.237542,386975,1609505580907010,3180877303,1.087264,-0.411872,-0.080032,-21.16625,1.23375,-3.33375,-26.336,-19.352001,-2.48,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.239566,386976,1609505580916025,3180886054,1.087264,-0.411872,-0.080032,-26.3725,1.05,2.16125,-26.336,-19.352001,-2.48,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.242213,386977,1609505580930547,3180898905,0.962336,-0.070272,-0.005856,-5.78375,-3.6925,-0.2275,-26.264002,-19.512001,-3.016,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.245086,386978,1609505580939712,3180909676,0.962336,-0.070272,-0.005856,26.94125,-11.92625,-9.345,-26.264002,-19.512001,-3.016,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.250093,386979,1609505580948631,3180918353,1.050176,0.072224,0.171776,36.4175,-14.323751,-14.4725,-26.400002,-19.320002,-3.888,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.263897,386980,1609505580963109,3180933221,1.050176,0.072224,0.171776,17.71875,-8.37375,-12.25875,-26.400002,-19.320002,-3.888,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.273408,386981,1609505580972031,3180941895,1.075552,-0.355264,0.035136,-14.11375,-0.65625,-5.80125,-26.088001,-20.2,-6.000001,concentric,3,3.0,47340.0,209396.0,101565.0,211128.0,113266.0
2026-04-14 17:34:47.310952,386992,1609505580986824,3180957179,0.970144,-0.32208,-0.003904,-32.06875,5.0575,1.89875,-25.512001,-20.032001,-3.504,concentric,3,3.0,44547.0,211180.0,96267.0,212140.0,107887.0
2026-04-14 17:34:47.313364,386993,1609505580995882,3180965993,0.970144,-0.32208,-0.003904,-14.49875,3.49125,-0.49,-25.512001,-20.032001,-3.504,concentric,3,3.0,44547.0,211180.0,96267.0,212140.0,107887.0
