pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-14 17:36:29.739119,406235,1609505683356029,3283326398,0.892064,-0.16592,-0.160064,-2.1175,-32.08625,24.31625,-23.960001,-21.184002,-5.968,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.742245,406236,1609505683364953,3283335106,0.892064,-0.16592,-0.160064,1.88125,-42.035,25.935,-23.960001,-21.184002,-5.968,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.744022,406237,1609505683379466,3283347932,1.194624,-0.201056,-0.07808,-2.30125,-43.4,25.15625,-24.832,-20.76,-6.08,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.756290,406238,1609505683388884,3283358652,0.880352,-0.105408,0.160064,-13.02875,-36.5575,31.4475,-25.04,-20.632002,-7.968,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.758722,406239,1609505683397782,3283367330,0.880352,-0.105408,0.160064,-15.56625,-27.5975,33.81,-25.04,-20.632002,-7.968,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.758859,406240,1609505683412257,3283382206,0.894016,-0.089792,0.163968,-18.3925,-23.51125,24.928751,-24.744001,-20.592001,-7.304,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.758956,406241,1609505683421172,3283390870,0.894016,-0.089792,0.163968,-7.04375,-23.35375,21.81375,-24.744001,-20.592001,-7.304,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.759060,406242,1609505683435844,3283405798,0.739808,-0.121024,-0.1952,22.07625,-27.32625,17.675,-24.664001,-20.384,-9.216001,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.759152,406243,1609505683444821,3283414493,0.739808,-0.121024,-0.1952,42.70875,-37.0475,9.56375,-24.664001,-20.384,-9.216001,concentric,4,3.0,61206.0,197670.0,121244.0,197270.0,134770.0
2026-04-14 17:36:29.791663,406254,1609505683453860,3283423299,0.989664,-0.177632,-0.669536,50.54875,-41.8775,6.58875,-24.544,-20.44,-8.688001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.794160,406255,1609505683468429,3283438258,0.989664,-0.162016,0.158112,29.00625,-38.3775,7.83125,-24.544,-20.44,-8.688001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.796762,406256,1609505683477366,3283446983,1.188768,-0.167872,0.158112,-13.2825,-29.785,17.4825,-24.696001,-20.184,-9.400001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.799186,406257,1609505683491895,3283461868,0.720288,-0.167872,-0.056608,-35.18375,-16.94875,21.647501,-24.864,-20.0,-8.888001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.804252,406258,1609505683500812,3283470559,0.720288,-0.167872,-0.056608,-15.75875,-14.9625,11.36625,-24.864,-20.0,-8.888001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.821835,406259,1609505683515357,3283485506,0.837408,-0.093696,0.042944,27.76375,-18.69,7.5425,-25.192001,-19.960001,-9.480001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.828052,406260,1609505683524285,3283494247,0.837408,-0.093696,0.042944,54.451252,-23.4325,10.386251,-25.192001,-19.960001,-9.480001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.836837,406261,1609505683533215,3283502943,0.86864,-0.081984,-0.173728,63.62125,-28.525,5.775,-24.768002,-19.92,-10.056001,concentric,4,3.0,52625.0,175878.0,106387.0,176377.0,117203.0
2026-04-14 17:36:29.875446,406272,1609505683548024,3283518362,0.86864,-0.081984,-0.173728,51.2925,-32.6375,1.295,-24.768002,-19.92,-10.056001,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.877853,406273,1609505683557054,3283527136,1.124352,-0.40016,-0.42944,8.6625,-35.9275,10.84125,-24.944,-18.848001,-9.928,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.880431,406274,1609505683571607,3283539968,0.931104,-0.337696,-0.093696,-47.97625,-34.86,26.355,-25.888,-18.824001,-8.808001,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.885539,406275,1609505683580849,3283550799,0.931104,-0.337696,-0.093696,-62.195,-34.15125,32.3925,-25.888,-18.824001,-8.808001,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.893024,406276,1609505683589891,3283559506,0.792512,-0.197152,-0.316224,-16.35375,-37.93125,19.74875,-25.888,-19.136002,-11.344001,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.909281,406277,1609505683604350,3283574420,0.792512,-0.197152,-0.316224,30.6425,-50.645,6.79875,-25.968,-19.136002,-11.344001,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.918016,406278,1609505683613281,3283583114,1.184864,-0.060512,-0.384544,43.6975,-61.25875,3.87625,-25.12,-18.640001,-11.352,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.932963,406279,1609505683627762,3283598001,1.184864,-0.060512,-0.384544,24.64875,-64.54875,9.73875,-25.12,-18.640001,-11.352,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.940574,406280,1609505683636669,3283606668,1.18096,-0.216672,-0.365024,-8.65375,-59.1325,18.41875,-25.256,-18.6,-12.168,concentric,4,3.0,44678.0,153163.0,90202.0,153496.0,99308.0
2026-04-14 17:36:29.975371,406291,1609505683651755,3283621643,1.134112,-0.402112,-0.579744,-44.16125,-47.04875,19.8625,-25.384,-18.544,-10.6,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:29.978280,406292,1609505683660832,3283630452,1.134112,-0.402112,-0.579744,-57.47,-45.42125,18.4275,-25.384,-18.544,-10.6,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:29.980330,406293,1609505683669862,3283639144,1.134112,-0.324032,-0.542656,-29.4525,-50.1375,19.1625,-25.384,-18.544,-10.6,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:29.992820,406294,1609505683684309,3283654065,1.501088,-0.32208,-0.542656,-3.78875,-49.455,13.5275,-25.080002,-18.536001,-11.912001,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:29.998022,406295,1609505683693291,3283662739,1.372256,-0.099552,-0.37088,11.15625,-38.78,5.5125,-24.728,-18.424002,-11.896001,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:30.010577,406296,1609505683707763,3283677666,1.372256,-0.099552,-0.37088,16.7475,-21.98,-5.67,-24.728,-18.424002,-11.896001,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:30.042328,406297,1609505683716670,3283686365,1.145824,-0.232288,-0.277184,12.792501,-9.1525,-8.2775,-24.792002,-18.632,-12.152,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:30.053176,406298,1609505683725586,3283695039,1.145824,-0.232288,-0.277184,-0.13125,-1.7675,-3.00125,-24.792002,-18.632,-12.152,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:30.053816,406299,1609505683740071,3283709890,0.767136,-0.275232,-0.382592,-8.1025,-2.35375,0.35,-25.264002,-18.368,-11.408001,concentric,4,3.0,41270.0,144074.0,83450.0,144052.0,92532.0
2026-04-14 17:36:30.126885,406310,1609505683749112,3283718515,0.767136,-0.275232,-0.382592,-1.75875,-8.7675,-0.2975,-25.264002,-18.368,-11.408001,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.129330,406311,1609505683763677,3283733402,1.016992,-0.296704,-0.589504,9.02125,-15.35625,-3.40375,-25.888,-18.104,-12.200001,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.131907,406312,1609505683772584,3283742066,0.968192,-0.050752,-0.154208,9.84375,-16.8525,-2.56375,-25.792002,-18.384,-11.824,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.135965,406313,1609505683787047,3283756925,0.968192,-0.050752,-0.154208,8.61875,-5.67,-0.83125,-25.792002,-18.384,-11.824,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.136581,406314,1609505683795905,3283765593,0.71248,-0.15616,-0.189344,5.0225,5.81875,-7.8225,-25.608002,-18.320002,-11.400001,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.141034,406315,1609505683804874,3283774263,0.71248,-0.15616,-0.189344,-0.49,6.41375,-10.386251,-25.608002,-18.320002,-11.400001,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.141858,406316,1609505683819391,3283789248,0.616832,-0.240096,-0.521184,-2.6425,2.3275,-4.13875,-25.624,-18.640001,-12.216001,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.143888,406317,1609505683828297,3283797935,0.616832,-0.240096,-0.521184,-2.345,-4.20875,-0.09625,-25.624,-18.640001,-12.216001,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.146747,406318,1609505683842755,3283812814,0.952576,-0.378688,-0.732,-5.48625,-10.5175,-1.86375,-24.984001,-18.616001,-12.464001,concentric,4,3.0,40795.0,142969.0,82479.0,142963.0,91020.0
2026-04-14 17:36:30.209595,406329,1609505683851785,3283821721,1.098976,-0.158112,-0.228384,-12.005,-13.25625,-3.8325,-24.904001,-18.6,-12.64,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.211780,406330,1609505683866291,3283836615,1.098976,-0.158112,-0.228384,-11.725,-6.2825,-1.75875,-24.904001,-18.6,-12.64,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.214037,406331,1609505683875269,3283845287,0.894016,-0.230336,-0.22448,-6.2125,6.6325,-6.16875,-25.144001,-18.904001,-12.296001,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.216738,406332,1609505683884213,3283853966,0.894016,-0.230336,-0.22448,-3.91125,9.82625,-15.6975,-25.144001,-18.904001,-12.296001,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.219393,406333,1609505683898880,3283868851,0.788608,-0.31232,-0.568032,0.72625,2.625,-13.475,-24.736002,-18.720001,-12.360001,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.222100,406334,1609505683907908,3283877605,0.788608,-0.31232,-0.568032,3.52625,-6.2125,-5.04,-24.736002,-18.720001,-12.360001,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.230015,406335,1609505683922385,3283892489,0.95648,-0.421632,-0.651968,-1.98625,-10.50875,-4.57625,-24.896002,-18.872002,-11.984,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.236512,406336,1609505683931333,3283901186,0.95648,-0.421632,-0.15616,-10.885,-8.4875,-6.5975,-24.896002,-18.872002,-11.984,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.245160,406337,1609505683940247,3283909851,0.970144,-0.171776,-0.15616,-6.265,-0.4375,-2.59875,-25.432001,-18.52,-10.824,concentric,4,3.0,40456.0,139896.0,81586.0,139936.0,89795.0
2026-04-14 17:36:30.276956,406348,1609505683954874,3283924867,0.765184,-0.130784,-0.32208,4.515,9.4675,-5.22375,-25.464,-18.784,-12.712001,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.279248,406349,1609505683963949,3283933586,0.765184,-0.130784,-0.32208,6.7025,11.80375,-12.08375,-25.464,-18.784,-12.712001,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.284477,406350,1609505683978459,3283948546,0.74176,-0.22448,-0.374784,-0.63875,11.698751,-10.2375,-25.568,-18.776001,-11.752001,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.291791,406351,1609505683987377,3283957269,0.74176,-0.22448,-0.374784,-11.75125,10.75375,-6.08125,-25.568,-18.776001,-11.752001,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.307939,406352,1609505684001905,3283972172,0.782752,-0.310368,-0.306464,-19.6,10.92875,-7.875,-24.744001,-19.080002,-12.288,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.315912,406353,1609505684010799,3283980838,0.782752,-0.310368,-0.306464,-13.02875,14.2975,-8.3125,-24.744001,-19.080002,-12.288,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.325479,406354,1609505684019693,3283989505,0.691008,-0.191296,-0.382592,2.3975,16.765,-8.4875,-24.696001,-19.048,-12.792001,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.339060,406355,1609505684034181,3284004438,0.802272,-0.187392,-0.386496,7.06125,14.8225,-9.05625,-25.480001,-18.704,-11.208,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.347095,406356,1609505684043100,3284013135,0.802272,-0.187392,-0.386496,-1.33875,10.1325,-6.195,-25.480001,-18.704,-11.208,concentric,4,3.0,38592.0,139594.0,78703.0,139791.0,86758.0
2026-04-14 17:36:30.377166,406367,1609505684057631,3284026048,0.974048,-0.294752,-0.222528,-18.7425,5.60875,-3.21125,-25.352001,-19.288,-11.584001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.379668,406368,1609505684066883,3284036791,0.974048,-0.294752,-0.222528,-35.39375,3.22875,-3.50875,-25.352001,-19.288,-11.584001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.411241,406369,1609505684081390,3284051715,0.8296,-0.206912,-0.1952,-34.09875,7.41125,-1.23375,-25.912,-19.080002,-10.848001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.437109,406370,1609505684090287,3284060395,0.8296,-0.206912,-0.1952,-14.63,13.055,-4.48875,-25.912,-19.080002,-10.848001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.437767,406371,1609505684099188,3284069045,0.749568,-0.142496,-0.392352,5.64375,13.46625,-11.43625,-24.456001,-19.048,-11.84,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.440327,406372,1609505684113654,3284083899,0.872544,-0.148352,-0.394304,12.0225,9.66,-12.2675,-24.584002,-19.024,-12.176001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.443693,406373,1609505684122596,3284092604,0.872544,-0.148352,-0.394304,0.9625,7.0,-10.7275,-24.584002,-19.024,-12.176001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.445812,406374,1609505684137072,3284105420,0.86864,-0.23424,-0.199104,-14.42875,7.77,-12.20625,-25.368002,-19.136002,-10.776001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.450810,406375,1609505684146231,3284116176,0.86864,-0.23424,-0.199104,-18.55,10.61375,-14.0175,-25.368002,-19.136002,-10.776001,concentric,4,3.0,39599.0,138275.0,80170.0,138257.0,88237.0
2026-04-14 17:36:30.478392,406386,1609505684160805,3284131078,0.796416,-0.218624,-0.244,-14.41125,10.115,-12.90625,-24.976002,-19.328001,-11.240001,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.480882,406387,1609505684169763,3284139766,0.796416,-0.218624,-0.244,-8.40875,7.8575,-8.5575,-24.976002,-19.328001,-11.240001,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.483391,406388,1609505684178692,3284148439,0.890112,-0.20496,-0.148352,-7.0,6.27375,-4.27875,-25.2,-19.024,-10.624001,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.497121,406389,1609505684193182,3284163277,0.890112,-0.20496,-0.277184,-10.71,4.165,-3.5,-25.2,-19.024,-10.624001,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.508765,406390,1609505684202186,3284171960,0.90768,-0.193248,-0.277184,-12.6,4.2175,-2.30125,-24.2,-19.592001,-11.264001,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.520128,406391,1609505684216673,3284186885,0.860832,-0.138592,-0.238144,-10.14125,7.1225,-1.96,-24.68,-19.344002,-10.120001,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.531566,406392,1609505684225625,3284195563,0.860832,-0.138592,-0.238144,-3.85875,10.395,-4.69875,-24.68,-19.344002,-10.120001,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.538947,406393,1609505684234645,3284204268,0.796416,-0.105408,-0.320128,0.0175,10.99875,-7.07,-24.488,-19.616001,-11.288,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.553209,406394,1609505684249178,3284219263,0.796416,-0.105408,-0.320128,-2.58125,10.045,-6.22125,-24.488,-19.616001,-11.288,concentric,4,3.0,38854.0,138833.0,78949.0,138834.0,86912.0
2026-04-14 17:36:30.583342,406405,1609505684258103,3284228020,0.833504,-0.18544,-0.314272,-9.98375,8.0675,-6.3525,-24.584002,-19.296001,-10.64,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.585881,406406,1609505684272687,3284242943,0.833504,-0.18544,-0.314272,-15.8725,7.2975,-5.62625,-24.584002,-19.296001,-10.64,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.588483,406407,1609505684281606,3284251617,0.903776,-0.193248,-0.21472,-15.855001,7.9625,-3.77125,-25.248001,-19.056002,-8.968,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.600869,406408,1609505684296095,3284264495,0.93696,-0.167872,-0.261568,-9.8525,8.74125,-2.94,-24.152,-19.288,-9.456,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.609233,406409,1609505684305392,3284275272,0.93696,-0.167872,-0.261568,-1.14625,10.45625,-1.995,-24.152,-19.288,-9.456,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.620151,406410,1609505684314345,3284283956,0.952576,-0.152256,-0.167872,2.89625,10.6575,-1.95125,-24.152,-19.288,-8.64,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.634545,406411,1609505684328833,3284298854,0.96624,-0.152256,-0.167872,0.595,9.1525,-3.01875,-24.720001,-18.776001,-8.64,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.641777,406412,1609505684337769,3284307514,0.84912,-0.11712,-0.228384,-2.44125,9.03,-2.23125,-25.36,-19.264002,-10.76,concentric,4,3.0,38856.0,138038.0,78865.0,137974.0,86702.0
2026-04-14 17:36:30.679316,406423,1609505684352460,3284322843,0.84912,-0.11712,-0.228384,-0.65625,9.975,-3.35125,-25.36,-19.264002,-10.76,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.681888,406424,1609505684361515,3284331597,0.89792,-0.173728,-0.37088,2.96625,10.4125,-5.41625,-24.808,-19.464,-10.344001,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.684255,406425,1609505684370513,3284340309,0.89792,-0.173728,-0.37088,2.26625,10.0975,-3.955,-24.808,-19.464,-10.344001,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.689152,406426,1609505684385026,3284355261,0.925248,-0.189344,-0.085888,-3.73625,10.80625,-2.72125,-25.056002,-18.712002,-9.368,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.698045,406427,1609505684393976,3284363950,0.925248,-0.189344,-0.085888,-4.4625,11.9875,-2.16125,-25.056002,-18.712002,-9.368,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.713073,406428,1609505684408453,3284376803,0.862784,-0.220576,-0.318176,1.575,11.97875,-2.0125,-24.392002,-19.112001,-8.52,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.721876,406429,1609505684417668,3284387541,0.796416,-0.115168,-0.277184,9.79125,11.17375,-1.74125,-24.776001,-19.136002,-10.664001,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.735459,406430,1609505684432147,3284402461,0.796416,-0.115168,-0.277184,12.88,9.24,-0.1575,-24.776001,-19.136002,-10.664001,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.745624,406431,1609505684441087,3284411172,0.925248,-0.148352,-0.11712,7.875,7.18375,-0.3325,-24.504002,-19.36,-10.456,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.786912,406432,1609505684450008,3284419839,0.925248,-0.148352,-0.11712,-1.2425,5.6175,-0.34125,-24.504002,-19.36,-10.456,concentric,4,3.0,38517.0,138004.0,78286.0,137910.0,86085.0
2026-04-14 17:36:30.854202,406443,1609505684464546,3284434745,0.931104,-0.1952,-0.046848,-8.7325,5.25875,0.2975,-24.856,-19.408,-10.168,concentric,4,3.0,38408.0,137625.0,78024.0,137490.0,85767.0
2026-04-14 17:36:30.856637,406444,1609505684473473,3284443423,0.931104,-0.1952,-0.046848,-9.135,5.7575,-0.21875,-24.856,-19.408,-10.168,concentric,4,3.0,38408.0,137625.0,78024.0,137490.0,85767.0
2026-04-14 17:36:30.859192,406445,1609505684487934,3284456294,0.899872,-0.206912,-0.122976,-3.22,5.18875,-1.19,-25.288002,-18.960001,-9.488001,concentric,4,3.0,38408.0,137625.0,78024.0,137490.0,85767.0
2026-04-14 17:36:30.861729,406446,1609505684497149,3284467049,0.899872,-0.199104,-0.339648,3.19375,3.78875,-1.79375,-24.976002,-19.096,-8.416,concentric,4,3.0,38408.0,137625.0,78024.0,137490.0,85767.0
