pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:36:20.216653,89036,1609503352326364,952292411,-1.032608,-0.046848,0.0976,-3.24625,-2.26625,8.198751,29.368002,-14.744,1.192,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.218340,89037,1609503352340804,952307394,-0.950624,-0.15616,-0.00976,-3.64,-4.96125,10.26375,29.416002,-14.136001,0.464,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.219888,89038,1609503352349774,952316116,-0.950624,-0.15616,-0.00976,-0.32375,-4.13875,8.12875,29.416002,-14.136001,0.464,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.224097,89039,1609503352364274,952331028,-1.042368,-0.13664,-0.13664,3.98125,0.34125,3.56125,29.032001,-15.056001,2.392,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.225828,89040,1609503352373184,952339693,-1.042368,-0.13664,-0.13664,-1.19875,3.4475,3.255,29.032001,-15.056001,2.392,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.227426,89041,1609503352382150,952348427,-1.130208,-0.07808,-0.10736,-8.365,3.77125,4.2,29.416002,-14.832001,2.056,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.258443,89042,1609503352396650,952363307,-1.130208,-0.07808,-0.10736,-11.15625,0.56,4.165,29.416002,-14.832001,2.056,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.262799,89043,1609503352405552,952371957,-1.081408,-0.091744,-0.013664,-8.4525,-4.69875,4.03375,29.488,-15.120001,1.232,concentric,3,3.0,21775.0,150424.0,240196.0,289780.0,268107.0
2026-04-08 21:36:20.292203,89054,1609503352420013,952386865,-1.081408,-0.091744,-0.113216,0.67375,-8.42625,3.36,29.488,-15.120001,1.232,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.294099,89055,1609503352428979,952395663,-0.964288,-0.121024,-0.113216,8.4,-7.9275,3.89375,28.864002,-15.192,1.672,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.297145,89056,1609503352443516,952410587,-0.938912,-0.0976,-0.089792,7.14,-7.2275,7.3325,29.256,-14.944,1.608,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.300480,89057,1609503352452451,952419298,-0.938912,-0.0976,-0.089792,-0.42,-6.93875,11.20875,29.256,-14.944,1.608,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.332579,89058,1609503352461397,952427964,-0.929152,-0.152256,0.02928,-9.10875,-9.21375,14.55125,28.688002,-15.256001,2.312,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.336115,89059,1609503352475905,952442840,-0.929152,-0.152256,0.02928,-9.96625,-11.6375,15.96,28.688002,-15.256001,2.312,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.338620,89060,1609503352484812,952451504,-0.93696,-0.173728,-0.05856,-1.47875,-9.6775,14.84,29.240002,-15.728001,1.504,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.346061,89061,1609503352499311,952466406,-0.93696,-0.173728,-0.05856,7.0875,-6.8425,14.8225,29.240002,-15.728001,1.504,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.376342,89062,1609503352508239,952475103,-1.007232,-0.046848,-0.132736,9.82625,-5.66125,19.32875,28.376001,-16.12,0.92,concentric,3,3.0,21817.0,150672.0,240509.0,289959.0,268211.0
2026-04-08 21:36:20.408613,89073,1609503352522840,952489950,-1.042368,-0.056608,-0.003904,6.27375,-7.27125,24.91125,28.808,-16.08,0.792,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.411058,89074,1609503352531885,952498713,-1.042368,-0.056608,-0.003904,2.19625,-12.53,26.9325,28.808,-16.08,0.792,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.413597,89075,1609503352540797,952507388,-1.042368,-0.056608,0.060512,0.9625,-19.32,27.32625,28.808,-16.08,0.792,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.416080,89076,1609503352555319,952522274,-0.964288,-0.11712,0.060512,4.22625,-24.3775,26.7925,28.208002,-16.136002,1.56,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.418599,89077,1609503352564231,952530922,-0.8784,-0.121024,-0.021472,9.37125,-23.9575,26.7225,28.232002,-16.76,1.656,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.424911,89078,1609503352578728,952545817,-0.8784,-0.121024,-0.021472,11.34875,-19.11875,28.647501,28.232002,-16.76,1.656,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.457313,89079,1609503352587639,952554519,-0.960384,-0.052704,0.148352,8.225,-15.28625,32.75125,27.912,-17.400002,1.752,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.460980,89080,1609503352602140,952567315,-0.940864,-0.074176,0.083936,4.31375,-13.1775,35.37625,27.720001,-17.456001,0.816,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.463300,89081,1609503352611316,952578026,-0.940864,-0.074176,0.083936,7.6125,-12.0575,35.65625,27.720001,-17.456001,0.816,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.469007,89082,1609503352620247,952586741,-0.940864,-0.074176,0.083936,13.39625,-12.495,36.68875,27.720001,-17.456001,0.816,concentric,3,3.0,21758.0,150413.0,240211.0,289786.0,268047.0
2026-04-08 21:36:20.494851,89093,1609503352634804,952601686,-0.940864,-0.085888,0.113216,18.13875,-12.81,37.8875,28.072,-18.384,2.232,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.499034,89094,1609503352643761,952610354,-0.95648,-0.085888,0.005856,19.73125,-11.83,37.94,26.992,-18.568,2.336,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.529742,89095,1609503352658262,952625204,-0.95648,-0.085888,0.005856,18.27875,-10.5875,37.485,26.992,-18.568,2.336,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.534180,89096,1609503352667183,952633918,-0.98576,-0.025376,0.042944,13.3175,-9.8,37.26625,27.016,-19.032001,2.64,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.536949,89097,1609503352681646,952648773,-0.98576,-0.025376,0.152256,8.74125,-10.325,37.72125,27.016,-19.032001,2.64,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.539846,89098,1609503352690547,952657434,-1.048224,0.015616,0.144448,8.6975,-12.90625,38.00125,26.872002,-19.464,3.16,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.568546,89099,1609503352699473,952666120,-1.048224,0.015616,0.144448,13.615,-16.1525,38.4475,26.872002,-19.464,3.16,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.573069,89100,1609503352714054,952680967,-0.931104,-0.099552,-0.003904,21.16625,-17.535,37.905,26.240002,-19.864,1.544,concentric,3,3.0,21825.0,150758.0,240690.0,290114.0,268222.0
2026-04-08 21:36:20.598687,89111,1609503352723056,952690280,-0.911584,-0.02928,0.054656,22.54875,-16.8875,36.74125,26.304,-20.176,1.544,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.637286,89112,1609503352737658,952703126,-0.911584,-0.02928,0.054656,17.98125,-14.0525,37.1875,26.304,-20.176,1.544,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.639499,89113,1609503352746867,952713886,-1.040416,0.085888,0.109312,11.50625,-11.15625,38.185,25.640001,-20.776001,3.152,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.644160,89114,1609503352755828,952722549,-1.040416,0.085888,0.109312,10.5525,-9.44125,37.44125,25.640001,-20.776001,3.152,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.645899,89115,1609503352770300,952737432,-1.030656,-0.013664,-0.007808,14.5775,-9.948751,36.86375,25.328001,-21.144001,3.28,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.648291,89116,1609503352779197,952746113,-1.030656,-0.013664,-0.007808,18.90875,-11.97875,36.40875,25.328001,-21.144001,3.28,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.649886,89117,1609503352793671,952758901,-0.954528,0.01952,0.060512,24.9375,-13.69375,34.83375,25.096,-21.328001,1.544,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.654056,89118,1609503352802912,952769617,-0.954528,0.093696,-0.023424,27.2825,-14.8575,35.28875,25.096,-21.328001,-0.504,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.682613,89119,1609503352817419,952784424,-0.987712,0.093696,-0.023424,21.27125,-15.7325,36.53125,25.112001,-21.84,-0.408,concentric,3,3.0,21911.0,151103.0,241108.0,290416.0,268378.0
2026-04-08 21:36:20.711290,89130,1609503352826745,952793101,-1.042368,0.093696,0.060512,14.86625,-13.125,34.62375,25.136002,-22.376001,1.336,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.715631,89131,1609503352835737,952801820,-1.042368,0.093696,0.060512,8.33,-9.79125,30.91375,25.136002,-22.376001,1.336,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.719579,89132,1609503352850406,952816714,-1.069696,0.103456,0.144448,3.31625,-7.455,28.81375,24.584002,-22.480001,1.032,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.721159,89133,1609503352859330,952825396,-1.069696,0.103456,0.144448,7.39375,-4.9175,28.79625,24.584002,-22.480001,1.032,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.723648,89134,1609503352873860,952840284,-1.071648,0.119072,0.20496,13.29125,-5.3025,28.25375,24.344002,-22.688002,1.848,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.730316,89135,1609503352882785,952848972,-1.071648,0.119072,0.20496,15.88125,-7.8925,27.5275,24.344002,-22.688002,1.848,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.758867,89136,1609503352891770,952857632,-1.016992,0.066368,-0.064416,16.44125,-11.96125,27.8775,23.984001,-23.168001,-1.616,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.763340,89137,1609503352906282,952872618,-0.997472,0.06832,-0.00976,14.41125,-15.46125,26.74875,23.992,-23.568,0.688,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.764900,89138,1609503352915224,952881270,-0.997472,0.06832,-0.00976,11.94375,-18.9525,24.08875,23.992,-23.568,0.688,concentric,3,3.0,21870.0,151036.0,241042.0,290386.0,268386.0
2026-04-08 21:36:20.793367,89149,1609503352929856,952896253,-0.970144,0.093696,0.05856,14.665,-20.5625,21.3325,23.832,-23.704,2.432,concentric,3,3.0,21926.0,151262.0,241354.0,290669.0,268572.0
2026-04-08 21:36:20.794913,89150,1609503352938803,952904903,-0.970144,0.093696,0.05856,21.866251,-17.03625,15.88125,23.832,-23.704,2.432,concentric,3,3.0,21926.0,151262.0,241354.0,290669.0,268572.0
2026-04-08 21:36:20.800244,89151,1609503352953415,952919812,-1.065792,0.124928,-0.042944,24.03625,-13.1075,12.7575,23.68,-23.76,2.568,concentric,3,3.0,21926.0,151262.0,241354.0,290669.0,268572.0
