pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 21:47:32.254629,215420,1609504024472499,1624439120,0.90768,-0.093696,-0.00976,-2.93125,1.19,-5.46,-16.6,18.568,6.784,concentric,4,3.0,19244.0,140096.0,226651.0,278100.0,262025.0
2026-04-08 21:47:32.256851,215421,1609504024481410,1624447785,0.90768,-0.093696,-0.00976,-3.47375,1.67125,-4.97875,-16.6,18.568,6.784,concentric,4,3.0,19244.0,140096.0,226651.0,278100.0,262025.0
2026-04-08 21:47:32.287199,215432,1609504024496083,1624462790,0.921344,-0.093696,-0.011712,-4.9875,0.91875,-5.95875,-16.512001,18.688002,6.464,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.291452,215433,1609504024505255,1624471572,0.921344,-0.093696,-0.011712,-7.8925,-0.06125,-6.58875,-16.512001,18.688002,6.464,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.293143,215434,1609504024514259,1624480300,0.884256,-0.062464,-0.050752,-8.51375,-1.46125,-5.9675,-16.208,18.624,7.16,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.294691,215435,1609504024528908,1624495241,0.884256,-0.062464,-0.050752,-7.58625,-2.98375,-5.73125,-16.208,18.624,7.16,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.301359,215436,1609504024537852,1624503937,0.847168,-0.074176,-0.20496,-6.51875,-3.71,-5.46,-16.384,18.632,7.512001,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.331986,215437,1609504024552312,1624518792,0.925248,-0.093696,-0.062464,-5.1275,-4.62875,-5.10125,-16.384,18.632,6.248,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.336447,215438,1609504024561174,1624527475,0.923296,-0.093696,-0.062464,-3.91125,-5.845,-4.55,-16.584002,18.704,6.248,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.338866,215439,1609504024575630,1624542376,0.8296,-0.0488,-0.083936,-4.12125,-6.65,-4.20875,-16.448,18.752,6.232,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.367467,215440,1609504024584633,1624551078,0.8296,-0.0488,-0.083936,-5.7575,-7.34125,-4.57625,-16.448,18.752,6.232,concentric,4,3.0,19493.0,140696.0,227101.0,278313.0,262067.0
2026-04-08 21:47:32.403924,215451,1609504024594095,1624560286,0.931104,-0.083936,0.02928,-7.8925,-7.735,-5.27625,-16.776001,18.6,7.032001,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.405665,215452,1609504024608621,1624575196,0.931104,-0.083936,0.02928,-9.93125,-7.98875,-5.495,-16.776001,18.6,7.032001,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.407206,215453,1609504024617558,1624583898,0.806176,-0.05856,-0.15616,-9.68625,-7.98875,-4.6375,-16.584002,18.560001,6.256001,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.411531,215454,1609504024632022,1624598817,0.806176,-0.05856,-0.15616,-9.765,-8.3125,-4.55875,-16.584002,18.560001,6.256001,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.413204,215455,1609504024640986,1624607517,0.90768,-0.052704,0.03904,-10.325,-8.8725,-5.355,-16.984001,18.784,7.12,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.414778,215456,1609504024649908,1624616197,0.90768,-0.052704,0.03904,-10.9025,-9.21375,-5.87125,-16.984001,18.784,7.12,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.445865,215457,1609504024664436,1624631116,0.921344,-0.099552,-0.103456,-11.43625,-9.3275,-5.41625,-16.984001,18.816,7.016,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.448339,215458,1609504024673359,1624639779,0.847168,-0.070272,-0.142496,-12.94125,-8.96875,-5.0225,-16.984001,18.728,6.384,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.455026,215459,1609504024687851,1624654653,0.847168,-0.070272,-0.142496,-14.93625,-8.89875,-5.25875,-16.6,18.728,6.384,concentric,4,3.0,19641.0,141054.0,227443.0,278516.0,262163.0
2026-04-08 21:47:32.481932,215470,1609504024697106,1624663350,0.831552,-0.054656,-0.10736,-14.48125,-8.42625,-5.48625,-16.848001,18.76,6.440001,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.483578,215471,1609504024711637,1624678336,0.831552,-0.054656,-0.10736,-12.60875,-8.53125,-5.36375,-16.848001,18.76,6.440001,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.487563,215472,1609504024720566,1624686998,0.890112,-0.064416,-0.12688,-10.045,-8.67125,-6.37875,-17.104,18.912,6.416,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.493858,215473,1609504024729491,1624695692,0.890112,-0.064416,-0.12688,-6.81625,-8.3475,-6.97375,-17.104,18.912,6.416,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.522397,215474,1609504024743979,1624710667,0.964288,-0.056608,0.056608,-5.215,-8.19,-6.71125,-16.904001,18.944,5.336,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.526761,215475,1609504024752905,1624719328,0.964288,-0.056608,0.056608,-4.585,-8.14625,-5.85375,-16.904001,18.944,5.336,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.530549,215476,1609504024767376,1624734179,0.948672,-0.07808,-0.093696,-2.89625,-7.74375,-5.635,-16.984001,18.792002,5.472,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.559931,215477,1609504024776306,1624742843,0.938912,-0.03904,0.066368,-1.40875,-6.97375,-6.16875,-16.736,18.240002,5.448,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.563479,215478,1609504024790773,1624757714,0.938912,-0.03904,0.066368,-0.5075,-6.53625,-5.7575,-16.736,18.240002,5.448,concentric,4,3.0,19574.0,140894.0,227396.0,278543.0,262217.0
2026-04-08 21:47:32.593135,215489,1609504024799722,1624766408,0.91744,-0.05856,-0.119072,1.37375,-5.9675,-5.76625,-17.168001,18.312,5.464,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
2026-04-08 21:47:32.594904,215490,1609504024808663,1624775081,0.91744,-0.05856,-0.119072,2.47625,-5.18875,-5.495,-17.168001,18.312,5.464,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
2026-04-08 21:47:32.596791,215491,1609504024823161,1624790033,0.864736,-0.035136,-0.03904,2.8525,-5.53,-5.1625,-17.608002,18.160002,7.296001,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
2026-04-08 21:47:32.598426,215492,1609504024832123,1624798730,0.864736,-0.035136,-0.03904,1.7675,-6.4575,-5.8275,-17.608002,18.160002,7.296001,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
2026-04-08 21:47:32.629583,215493,1609504024846607,1624813570,0.944768,-0.066368,-0.040992,1.1375,-6.30875,-6.65,-17.776001,18.76,5.504,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
2026-04-08 21:47:32.631870,215494,1609504024855529,1624822298,0.862784,-0.03904,-0.109312,0.39375,-6.3875,-6.46625,-17.480001,18.768002,7.544,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
2026-04-08 21:47:32.637599,215495,1609504024870003,1624835145,0.862784,-0.03904,-0.109312,1.02375,-5.57375,-5.17125,-17.480001,18.768002,7.544,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
2026-04-08 21:47:32.642556,215496,1609504024879160,1624845877,0.847168,-0.0488,-0.18544,1.925,-4.9875,-4.24375,-17.304,18.304,5.344,concentric,4,3.0,19556.0,140831.0,227259.0,278439.0,262140.0
