pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e
2026-04-08 22:01:45.477293,375857,1609504877620679,2477587334,-1.059936,-0.187392,0.310368,-15.89875,-6.30875,-0.63875,36.312,-14.136001,-4.968,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.478819,375858,1609504877629723,2477596037,-1.038464,-0.17568,0.320128,-9.33625,-7.69125,-0.30625,36.52,-14.528001,-5.0,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.483117,375859,1609504877638688,2477604696,-1.038464,-0.17568,0.320128,-3.00125,-8.39125,0.3675,36.52,-14.528001,-5.0,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.484786,375860,1609504877653153,2477619568,-0.99552,-0.206912,0.27328,-1.93375,-9.0125,1.44375,36.208,-14.528001,-4.76,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.487334,375861,1609504877662041,2477628217,-0.99552,-0.206912,0.27328,-8.05,-8.5575,2.275,36.208,-14.528001,-4.76,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.488763,375862,1609504877676548,2477643104,-1.075552,-0.25376,0.062464,-15.86375,-7.84,3.4475,36.232002,-14.68,-3.0,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.493040,375863,1609504877685477,2477651824,-0.989664,-0.27328,0.324032,-19.5475,-6.51,4.8125,35.52,-14.480001,-3.816,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.494755,375864,1609504877694365,2477660509,-0.989664,-0.27328,0.324032,-17.6225,-5.41625,4.99625,35.52,-14.480001,-3.816,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.497099,375865,1609504877708863,2477675428,-1.091168,-0.18544,0.244,-12.6,-5.18,4.6725,35.176003,-14.488001,-3.656,concentric,4,3.0,24719.0,165278.0,251020.0,296169.0,272356.0
2026-04-08 22:01:45.552593,375876,1609504877717838,2477684493,-1.091168,-0.18544,0.244,-9.37125,-5.8275,4.235,35.176003,-14.488001,-3.656,concentric,4,3.0,24695.0,165056.0,250689.0,295957.0,272228.0
