pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e,ppg_f,ppg_g,ppg_h,ppg_i,ppg_j
2026-05-06 16:40:26.556305,977270,1609507889897546,5489808720,0.733952,0.206912,0.511424,-0.76125,-0.09625,-5.1975,-40.208,5.656,-70.152,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.558325,977271,1609507889912595,5489823730,0.733952,0.206912,0.511424,-0.88375,0.11375,-5.0925,-40.208,5.656,-70.152,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.560486,977272,1609507889922116,5489834585,0.728096,0.18544,0.523136,-1.07625,-0.385,-5.43375,-40.640003,6.24,-70.272,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.562936,977273,1609507889931159,5489843348,0.728096,0.18544,0.523136,-0.4725,0.0175,-3.9025,-40.640003,6.24,-70.272,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.565327,977274,1609507889945664,5489858313,0.726144,0.238144,0.486048,0.49,0.60375,-1.77625,-40.368,6.32,-69.864006,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.572746,977275,1609507889954619,5489867075,0.726144,0.238144,0.486048,-0.6125,0.8575,-2.73,-40.368,6.32,-69.864006,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.585414,977276,1609507889969211,5489879983,0.71248,0.244,0.452864,-0.735,0.8225,-3.03625,-40.4,6.528,-70.856,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.599007,977277,1609507889978449,5489890842,0.728096,0.216672,0.505568,-0.28875,0.735,-4.1475,-40.4,7.880001,-70.68,none,4,5.0,24207.0,29870.0,84967.0,86536.0,21278.0,37294.0,37007.0,48677.0,14963.0,12403.0
2026-05-06 16:40:26.677982,977288,1609507889993013,5489905793,0.728096,0.216672,0.505568,0.81375,0.5075,-4.445,-40.4,7.880001,-70.68,none,4,5.0,24285.0,29930.0,84972.0,86427.0,21346.0,37401.0,37039.0,48639.0,15017.0,12450.0
2026-05-06 16:40:26.678115,977289,1609507890001987,5489914550,0.724192,0.21472,0.515328,0.14,0.3325,-4.40125,-40.368,7.384,-71.16801,none,4,5.0,24285.0,29930.0,84972.0,86427.0,21346.0,37401.0,37039.0,48639.0,15017.0,12450.0
