pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e,ppg_f,ppg_g,ppg_h,ppg_i,ppg_j
2026-05-06 16:01:34.486056,538446,1609505557944041,3157855829,-1.04432,0.1464,-0.003904,8.33875,0.735,-6.755,37.640003,-47.04,-55.704002,inter_set_rest,4,5.0,19073.0,25253.0,68107.0,85781.0,19618.0,35567.0,29264.0,49284.0,14130.0,11076.0
2026-05-06 16:01:34.488617,538447,1609505557958550,3157870736,-1.04432,0.1464,-0.003904,7.1575,1.96,-6.4575,37.640003,-47.04,-55.704002,inter_set_rest,4,5.0,19073.0,25253.0,68107.0,85781.0,19618.0,35567.0,29264.0,49284.0,14130.0,11076.0
2026-05-06 16:01:34.491062,538448,1609505557967550,3157879474,-1.071648,0.142496,-0.021472,3.1325,3.29875,-8.04125,37.824,-43.464,-57.416004,inter_set_rest,4,5.0,19073.0,25253.0,68107.0,85781.0,19618.0,35567.0,29264.0,49284.0,14130.0,11076.0
2026-05-06 16:01:34.524986,538449,1609505557982051,3157894498,-1.089216,0.081984,-0.044896,0.035,3.89375,-8.75875,38.128002,-43.36,-59.336002,inter_set_rest,4,5.0,19073.0,25253.0,68107.0,85781.0,19618.0,35567.0,29264.0,49284.0,14130.0,11076.0
2026-05-06 16:01:34.527532,538450,1609505557991005,3157903229,-1.089216,0.081984,-0.044896,-1.07625,4.36625,-8.98625,38.128002,-43.36,-59.336002,inter_set_rest,4,5.0,19073.0,25253.0,68107.0,85781.0,19618.0,35567.0,29264.0,49284.0,14130.0,11076.0
2026-05-06 16:01:34.554822,538461,1609505558005740,3157918224,-1.061888,0.083936,-0.023424,-0.67375,3.8325,-8.58375,38.192,-43.128002,-58.512,inter_set_rest,4,5.0,19037.0,25282.0,68158.0,85855.0,19610.0,35615.0,29284.0,49345.0,14156.0,11103.0
2026-05-06 16:01:34.557434,538462,1609505558014713,3157927071,-1.061888,0.083936,-0.023424,2.35375,3.185,-7.1575,38.192,-43.128002,-58.512,inter_set_rest,4,5.0,19037.0,25282.0,68158.0,85855.0,19610.0,35615.0,29284.0,49345.0,14156.0,11103.0
2026-05-06 16:01:34.559939,538463,1609505558023676,3157935863,-1.042368,0.130784,-0.035136,4.54125,3.08875,-5.6525,38.136,-45.024002,-56.816,inter_set_rest,4,5.0,19037.0,25282.0,68158.0,85855.0,19610.0,35615.0,29284.0,49345.0,14156.0,11103.0
2026-05-06 16:01:34.562311,538464,1609505558038344,3157950835,-1.042368,0.130784,-0.035136,2.8,4.20875,-5.67875,38.136,-45.024002,-56.816,inter_set_rest,4,5.0,19037.0,25282.0,68158.0,85855.0,19610.0,35615.0,29284.0,49345.0,14156.0,11103.0
2026-05-06 16:01:34.577666,538465,1609505558047289,3157959538,-1.059936,0.115168,-0.01952,-1.89875,5.7225,-6.4575,38.280003,-44.728,-57.296,inter_set_rest,4,5.0,19037.0,25282.0,68158.0,85855.0,19610.0,35615.0,29284.0,49345.0,14156.0,11103.0
