pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e,ppg_f,ppg_g,ppg_h,ppg_i,ppg_j
2026-05-06 16:15:21.451220,694060,1609506384873247,3984785847,0.772992,-0.109312,0.300608,10.47375,1.4525,2.835,-36.768,-23.032001,-83.952,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.453631,694061,1609506384882240,3984794619,0.786656,-0.134688,0.343552,12.10125,1.995,1.40875,-36.432003,-24.768002,-80.32001,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.456147,694062,1609506384891224,3984803326,0.786656,-0.134688,0.343552,9.5725,3.59625,1.09375,-36.432003,-24.768002,-80.32001,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.465083,694063,1609506384905908,3984818313,0.808128,-0.148352,0.304512,3.94625,5.425,1.33875,-36.704002,-24.28,-80.296005,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.473754,694064,1609506384914979,3984827057,0.808128,-0.148352,0.304512,0.805,6.4225,2.1175,-36.704002,-24.28,-80.296005,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.487469,694065,1609506384929507,3984842054,0.755424,-0.111264,0.300608,3.54375,6.72875,3.5875,-36.792004,-23.008001,-81.496,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.496248,694066,1609506384938456,3984850780,0.755424,-0.111264,0.300608,5.43375,5.95875,4.06875,-36.792004,-23.008001,-81.496,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.506668,694067,1609506384947385,3984859497,0.745664,-0.056608,0.32208,7.455,5.0925,4.305,-36.960003,-22.552002,-85.104004,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.541272,694068,1609506384961912,3984874387,0.716384,-0.12688,0.265472,8.98625,4.08625,2.975,-36.824,-21.984001,-81.728004,inter_set_rest,4,5.0,36849.0,40683.0,91054.0,100526.0,33450.0,47311.0,39191.0,57090.0,21672.0,16204.0
2026-05-06 16:15:21.601399,694079,1609506384971146,3984883171,0.716384,-0.12688,0.265472,6.62375,4.1125,1.995,-36.824,-21.984001,-81.728004,inter_set_rest,4,5.0,36948.0,40838.0,91020.0,100179.0,33556.0,47463.0,39154.0,56921.0,21741.0,16277.0
