pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e,ppg_f,ppg_g,ppg_h,ppg_i,ppg_j
2026-05-06 16:32:44.911679,890396,1609507428231897,5028143857,0.568032,0.495808,0.44896,-4.45375,3.36,-2.00375,-45.224003,-0.752,-62.032,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.913799,890397,1609507428246545,5028158944,0.568032,0.495808,0.44896,-2.9575,3.115,-1.12875,-45.224003,-0.752,-62.032,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.916598,890398,1609507428255467,5028167679,0.59536,0.528992,0.443104,-0.91875,2.58125,-1.88125,-45.36,-2.552,-61.072002,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.919147,890399,1609507428264462,5028176420,0.59536,0.528992,0.443104,-0.84,2.0475,-4.9175,-45.36,-2.552,-61.072002,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.921404,890400,1609507428278997,5028191370,0.5856,0.476288,0.396256,1.19,0.91875,-6.93,-45.488003,-0.76,-62.536003,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.924110,890401,1609507428287973,5028200128,0.5856,0.476288,0.396256,4.45375,-0.77875,-8.0675,-45.488003,-0.76,-62.536003,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.926453,890402,1609507428302509,5028215236,0.612928,0.515328,0.466528,7.56,-2.2575,-6.60625,-45.384003,-0.576,-62.312004,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.929121,890403,1609507428311439,5028223931,0.607072,0.52704,0.435296,6.50125,-3.885,-5.24125,-45.480003,-0.528,-60.768,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.931659,890404,1609507428325932,5028236828,0.607072,0.52704,0.435296,0.91,-3.6575,-6.23875,-45.480003,-0.528,-60.768,concentric,4,5.0,30519.0,33269.0,79538.0,72743.0,28411.0,42709.0,34678.0,41445.0,19517.0,14727.0
2026-05-06 16:32:44.958938,890415,1609507428335430,5028247737,0.62464,0.499712,0.472384,-0.41125,-2.6075,-6.86875,-45.488003,-2.472,-61.376003,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:44.961713,890416,1609507428344588,5028256487,0.62464,0.499712,0.472384,0.81375,-2.98375,-6.99125,-45.488003,-2.472,-61.376003,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:44.964176,890417,1609507428359206,5028271508,0.61488,0.501664,0.425536,1.44375,-3.01,-6.81625,-45.368004,-2.368,-61.048004,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:44.967954,890418,1609507428368172,5028280291,0.61488,0.501664,0.425536,2.38,-2.45875,-5.5475,-45.368004,-2.368,-61.048004,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:44.981802,890419,1609507428382730,5028295187,0.64416,0.511424,0.491904,1.39125,-2.6425,-5.4425,-45.696003,-2.672,-61.416004,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:44.991458,890420,1609507428391661,5028303954,0.616832,0.50752,0.47824,1.0675,-1.155,-5.005,-45.528004,-0.864,-64.928,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:45.000344,890421,1609507428400594,5028312683,0.616832,0.50752,0.47824,0.6125,0.28,-5.635,-45.528004,-0.864,-64.928,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:45.033945,890422,1609507428415153,5028327601,0.607072,0.488,0.44896,1.505,1.4,-7.1225,-45.496002,-0.896,-62.456,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:45.036479,890423,1609507428424202,5028336428,0.607072,0.488,0.44896,2.2575,0.84,-7.30625,-45.496002,-0.896,-62.456,concentric,4,5.0,30522.0,33313.0,79680.0,72736.0,28435.0,42746.0,34751.0,41440.0,19538.0,14745.0
2026-05-06 16:32:45.066682,890434,1609507428439034,5028351453,0.622688,0.511424,0.495808,1.575,-1.61,-7.28875,-45.712,-1.368,-62.128002,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.071891,890435,1609507428447994,5028360262,0.622688,0.511424,0.495808,-3.22875,-2.40625,-7.42,-45.712,-1.368,-62.128002,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.072219,890436,1609507428457035,5028368998,0.573888,0.50752,0.470432,-9.2225,-2.05625,-7.9975,-45.496002,-1.312,-62.640003,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.073875,890437,1609507428471635,5028383976,0.573888,0.47824,0.437248,-13.1775,-1.67125,-7.7175,-45.496002,-1.312,-62.640003,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.082926,890438,1609507428480667,5028392758,0.620736,0.47824,0.437248,-12.17125,-1.77625,-6.95625,-45.632004,-1.096,-62.616,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.103887,890439,1609507428495283,5028407690,0.581696,0.46848,0.407968,-9.10875,-2.10875,-5.39875,-45.632004,-0.936,-62.840004,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.106634,890440,1609507428504310,5028416514,0.581696,0.46848,0.407968,-2.33625,-2.52,-4.7425,-45.632004,-0.936,-62.840004,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.111633,890441,1609507428513380,5028425247,0.587552,0.548512,0.425536,6.99125,-4.2875,-2.7825,-45.672,-1.296,-60.112003,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.145366,890442,1609507428527863,5028440199,0.587552,0.548512,0.425536,10.19375,-5.59125,-1.25125,-45.672,-1.296,-60.112003,concentric,4,5.0,30740.0,33398.0,79520.0,72946.0,28605.0,42797.0,34662.0,41524.0,19661.0,14783.0
2026-05-06 16:32:45.172563,890453,1609507428536858,5028448989,0.62464,0.491904,0.431392,8.44375,-6.50125,-2.9225,-45.576004,-1.832,-62.744003,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.177304,890454,1609507428551379,5028463937,0.62464,0.491904,0.431392,4.54125,-6.7375,-5.1975,-45.576004,-1.832,-62.744003,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.177493,890455,1609507428560431,5028472690,0.612928,0.495808,0.499712,4.24375,-6.23875,-3.9375,-45.752003,-1.152,-62.624004,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.207881,890456,1609507428575206,5028487655,0.612928,0.521184,0.482144,6.41375,-6.3875,-3.57875,-45.936,-2.248,-63.096004,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.210366,890457,1609507428584170,5028496442,0.612928,0.521184,0.482144,6.46625,-5.81875,-3.7275,-45.936,-2.248,-63.096004,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.212847,890458,1609507428593150,5028505177,0.62464,0.525088,0.486048,4.3575,-5.11875,-5.145,-45.744003,-1.296,-63.176003,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.237910,890459,1609507428607642,5028520101,0.62464,0.525088,0.486048,5.62625,-4.48875,-5.83625,-45.744003,-1.296,-63.176003,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.264707,890460,1609507428616556,5028528826,0.646112,0.52704,0.503616,6.4925,-4.36625,-7.35,-45.848003,-2.144,-62.704002,concentric,4,5.0,30678.0,33092.0,79181.0,72879.0,28548.0,42443.0,34473.0,41450.0,19629.0,14645.0
2026-05-06 16:32:45.290349,890471,1609507428631236,5028543998,0.646112,0.52704,0.503616,4.31375,-4.27875,-8.81125,-45.848003,-2.144,-62.704002,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.292876,890472,1609507428640184,5028552809,0.599264,0.51728,0.489952,2.9925,-3.12375,-9.511251,-45.632004,-1.288,-62.952003,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.297891,890473,1609507428649182,5028561522,0.599264,0.51728,0.489952,3.395,-3.14125,-9.98375,-45.632004,-1.288,-62.952003,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.300411,890474,1609507428663803,5028576442,0.626592,0.530944,0.480192,1.2775,-2.975,-9.948751,-45.640003,-1.688,-62.504,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.302839,890475,1609507428672912,5028585192,0.626592,0.530944,0.464576,-3.77125,-2.33625,-8.98625,-45.640003,-1.688,-62.504,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.305407,890476,1609507428687553,5028600309,0.64416,0.488,0.454816,-7.55125,-1.98625,-8.995,-45.816,-1.656,-62.904003,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.307842,890477,1609507428696483,5028609067,0.593408,0.515328,0.406016,-9.8,-2.345,-7.7875,-46.04,-3.224,-61.656002,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.310447,890478,1609507428710957,5028621933,0.593408,0.515328,0.406016,-7.93625,-2.77375,-5.1975,-46.04,-3.224,-61.656002,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.321710,890479,1609507428720386,5028632741,0.610976,0.525088,0.417728,-3.80625,-4.0425,-3.99,-46.008003,-3.448,-61.912003,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.330414,890480,1609507428729319,5028641568,0.610976,0.525088,0.417728,-3.07125,-5.1275,-5.075,-46.008003,-3.448,-61.912003,concentric,4,5.0,30439.0,32912.0,79096.0,72894.0,28324.0,42228.0,34454.0,41449.0,19507.0,14582.0
2026-05-06 16:32:45.358695,890491,1609507428744026,5028656648,0.616832,0.460672,0.435296,-4.2,-5.36375,-5.4425,-45.584003,-2.104,-62.800003,concentric,4,5.0,30612.0,32988.0,78949.0,72923.0,28481.0,42333.0,34385.0,41492.0,19607.0,14616.0
2026-05-06 16:32:45.360832,890492,1609507428753081,5028665423,0.616832,0.460672,0.435296,-5.81875,-4.99625,-4.2875,-45.584003,-2.104,-62.800003,concentric,4,5.0,30612.0,32988.0,78949.0,72923.0,28481.0,42333.0,34385.0,41492.0,19607.0,14616.0
