pc_time,serial_num,sensor_ts,host_ts,ax,ay,az,gx,gy,gz,mx,my,mz,phase,rpe,weight_kg,ppg_a,ppg_b,ppg_c,ppg_d,ppg_e,ppg_f,ppg_g,ppg_h,ppg_i,ppg_j
2026-05-06 16:25:43.449739,811093,1609507006806855,4606719572,0.733952,-0.558272,0.00976,5.06625,-11.2,-0.18375,-35.784,-15.816001,-80.472,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.453088,811094,1609507006815802,4606728315,0.733952,-0.558272,0.00976,5.11875,-12.565,-0.28,-35.784,-15.816001,-80.472,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.453518,811095,1609507006824744,4606737023,0.726144,-0.571936,0.017568,4.22625,-13.2825,-0.06125,-35.944,-18.672,-78.240005,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.456135,811096,1609507006839413,4606751994,0.726144,-0.571936,0.017568,3.03625,-14.21875,0.60375,-35.944,-18.672,-78.240005,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.458720,811097,1609507006848396,4606760704,0.745664,-0.59536,-0.040992,2.555,-15.9075,1.49625,-35.728,-18.312,-79.32001,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.462866,811098,1609507006863011,4606775622,0.735904,-0.558272,-0.031232,2.1875,-16.8175,1.61875,-35.824,-15.008,-81.04,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.464291,811099,1609507006871957,4606784316,0.735904,-0.558272,-0.031232,2.485,-17.92,1.995,-35.824,-15.008,-81.04,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.466221,811100,1609507006886533,4606797295,0.714432,-0.558272,-0.031232,1.715,-18.515,2.6775,-35.536003,-15.064001,-81.504005,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.479970,811101,1609507006895732,4606808134,0.714432,-0.558272,-0.031232,-0.13125,-19.73125,2.94875,-35.536003,-15.064001,-81.504005,inter_set_rest,4,5.0,37751.0,46782.0,88133.0,78372.0,37013.0,58282.0,39537.0,44048.0,23920.0,20618.0
2026-05-06 16:25:43.507545,811112,1609507006904752,4606816907,0.749568,-0.587552,-0.042944,-1.1725,-21.04375,3.7975,-35.16,-15.688001,-81.512,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.509965,811113,1609507006919308,4606831931,0.749568,-0.587552,-0.042944,-1.37375,-21.8575,3.78875,-35.16,-15.688001,-81.512,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.512492,811114,1609507006928273,4606840773,0.735904,-0.558272,-0.070272,-0.6825,-22.46125,2.84375,-35.616,-16.504002,-80.464005,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.526392,811115,1609507006942899,4606853658,0.724192,-0.54656,-0.031232,1.225,-23.28375,3.535,-34.576,-14.920001,-84.496,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.536475,811116,1609507006952235,4606864482,0.724192,-0.54656,-0.031232,1.32125,-23.38875,4.05125,-34.576,-14.920001,-84.496,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.542650,811117,1609507006961305,4606873197,0.724192,-0.54656,-0.031232,-2.05625,-23.5375,4.45375,-34.576,-14.920001,-84.496,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.579802,811118,1609507006975797,4606888209,0.706624,-0.568032,-0.072224,-3.33375,-24.42125,4.90875,-34.968002,-16.616001,-82.184006,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.580152,811119,1609507006984719,4606896918,0.69296,-0.562176,-0.134688,-1.365,-25.6725,5.635,-34.640003,-15.296001,-81.52801,inter_set_rest,4,5.0,38071.0,46796.0,87999.0,78536.0,37221.0,58150.0,39425.0,44096.0,24091.0,20599.0
2026-05-06 16:25:43.606244,811130,1609507006999716,4606911895,0.69296,-0.562176,-0.134688,1.855,-26.985,5.95875,-34.640003,-15.296001,-81.52801,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.608890,811131,1609507007008778,4606920661,0.681248,-0.54656,-0.111264,4.235,-28.62125,6.60625,-34.344,-18.128,-79.648,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.611406,811132,1609507007017726,4606929467,0.681248,-0.54656,-0.111264,4.89125,-29.7325,7.91875,-34.344,-18.128,-79.648,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.613870,811133,1609507007032250,4606944332,0.671488,-0.554368,-0.08784,3.9375,-30.397501,9.9925,-34.264,-18.160002,-81.04,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.622750,811134,1609507007041186,4606953106,0.671488,-0.554368,-0.08784,1.61,-30.96625,11.6375,-34.264,-18.160002,-81.04,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.646520,811135,1609507007055684,4606968012,0.648064,-0.558272,-0.122976,0.02625,-32.095,12.20625,-34.128002,-13.984,-83.408005,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.649036,811136,1609507007064610,4606976763,0.630496,-0.560224,-0.128832,-0.88375,-33.88,13.08125,-33.712,-13.488001,-83.776,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.662657,811137,1609507007079129,4606991629,0.630496,-0.560224,-0.128832,-0.9625,-35.6825,14.385,-33.712,-13.488001,-83.776,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.671240,811138,1609507007088050,4607000378,0.648064,-0.57584,-0.144448,-0.07875,-37.75625,15.9425,-33.688,-15.216001,-83.152,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.680160,811139,1609507007096973,4607009103,0.648064,-0.57584,-0.144448,2.7825,-39.40125,18.47125,-33.688,-15.216001,-83.152,inter_set_rest,4,5.0,38199.0,46661.0,87739.0,78528.0,37317.0,57957.0,39305.0,44080.0,24165.0,20521.0
2026-05-06 16:25:43.763995,811150,1609507007111550,4607024100,0.6344,-0.558272,-0.154208,5.55625,-41.67625,21.07,-32.960003,-13.416,-84.992004,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.766123,811151,1609507007120496,4607032799,0.6344,-0.558272,-0.154208,6.2475,-42.8925,22.67125,-32.960003,-13.416,-84.992004,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.768709,811152,1609507007135026,4607047774,0.679296,-0.597312,-0.148352,5.355,-44.2575,23.00375,-32.792,-12.256001,-85.520004,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.771095,811153,1609507007143956,4607056503,0.67344,-0.5856,-0.167872,4.655,-45.0975,23.8875,-32.56,-11.56,-83.568,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.773454,811154,1609507007158460,4607069382,0.67344,-0.5856,-0.167872,4.64625,-46.1475,25.06875,-32.56,-11.56,-83.568,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.776005,811155,1609507007167960,4607080181,0.69296,-0.5856,-0.167872,3.24625,-46.34,26.1975,-32.104,-11.624001,-86.424,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.778531,811156,1609507007176881,4607088915,0.69296,-0.5856,-0.167872,2.695,-46.47125,27.37,-32.104,-11.624001,-86.424,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.781284,811157,1609507007191380,4607103836,0.72224,-0.628544,-0.193248,2.84375,-45.73625,27.65,-31.464,-11.304001,-87.20801,inter_set_rest,4,5.0,38095.0,46162.0,87362.0,77922.0,37169.0,57432.0,39079.0,43758.0,24112.0,20318.0
2026-05-06 16:25:43.814054,811168,1609507007200901,4607112993,0.72224,-0.628544,-0.193248,2.63375,-45.7975,27.1425,-31.464,-11.304001,-87.20801,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.816519,811169,1609507007210060,4607121764,0.698816,-0.632448,-0.242048,3.605,-46.73375,27.545,-31.208002,-11.152,-87.28001,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.818995,811170,1609507007224770,4607136811,0.69296,-0.6344,-0.23424,5.74875,-47.18875,27.88625,-31.080002,-10.144,-87.408005,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.825258,811171,1609507007233790,4607145586,0.69296,-0.6344,-0.23424,4.75125,-47.53,27.685,-31.080002,-10.144,-87.408005,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.831532,811172,1609507007248305,4607160596,0.675392,-0.66368,-0.21472,3.745,-47.1975,27.58,-30.520002,-11.256001,-87.456,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.840324,811173,1609507007257225,4607169325,0.675392,-0.66368,-0.21472,1.63625,-46.4975,27.09,-30.520002,-11.256001,-87.456,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.856391,811174,1609507007271734,4607184277,0.64416,-0.651968,-0.212768,-1.05,-45.85875,27.16875,-29.896002,-9.512,-88.84801,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.862455,811175,1609507007280666,4607192985,0.64416,-0.651968,-0.212768,-2.65125,-45.78875,27.37875,-29.896002,-9.512,-88.84801,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.871429,811176,1609507007289618,4607201707,0.72224,-0.7808,-0.249856,-3.33375,-45.80625,26.50375,-29.712002,-9.68,-89.304,inter_set_rest,4,5.0,37741.0,45264.0,86989.0,77016.0,36796.0,56381.0,38852.0,43260.0,23922.0,19865.0
2026-05-06 16:25:43.916512,811187,1609507007304269,4607216668,0.72224,-0.737856,-0.210816,-2.3625,-47.32,23.3625,-29.712002,-9.68,-89.304,inter_set_rest,4,5.0,37403.0,44735.0,86863.0,76507.0,36428.0,55791.0,38765.0,42963.0,23698.0,19582.0
2026-05-06 16:25:43.919050,811188,1609507007313357,4607225506,0.75152,-0.737856,-0.210816,-3.15875,-48.72875,17.5,-28.664001,-8.776,-88.704,inter_set_rest,4,5.0,37403.0,44735.0,86863.0,76507.0,36428.0,55791.0,38765.0,42963.0,23698.0,19582.0
2026-05-06 16:25:43.921384,811189,1609507007327916,4607240502,0.421632,-0.550464,-0.284992,7.105,-50.74125,16.8525,-28.168001,-8.184,-90.272,inter_set_rest,4,5.0,37403.0,44735.0,86863.0,76507.0,36428.0,55791.0,38765.0,42963.0,23698.0,19582.0
